Season,Team,Promoted,Relegated,Division,Played,Won,Drew,Lost,For,Against,Points,League Position,TeamsInTopLeague,OverallPosition,FA Cup,League Cup,Community Shield,Champions League,Europa League,Cup Winners’ Cup,Super Cup,Club World Cup,HomeLeagueGamesPlayed,HomeLeagueGameResult,HomeLeagueGoalsForHeadToHead,HomeLeagueGoalsAgainstHeadToHead,HomeLeagueWinsHeadToHead,HomeLeagueDrawsHeadToHead,HomeLeagueLostHeadToHead,AwayLeagueGamesPlayed,AwayLeagueGameResult,AwayLeagueGoalsForHeadToHead,AwayLeagueGoalsAgainstHeadToHead,AwayLeagueWinsHeadToHead,AwayLeagueDrawsHeadToHead,AwayLeagueLostHeadToHead,TotalLeaguePlayedHeadToHead,TotalLeagueWonHeadToHead,TotalLeagueDrawHeadToHead,TotalLeagueLostHeadToHead,TotalLeagueGoalsForHeadToHead,TotalLeagueGoalsAgainstHeadToHead,TotalLeaguePointsHeadToHead,HomeCupGamesPlayed,HomeCupGameResult,HomeCupGoalsForHeadToHead,HomeCupGoalsAgainstHeadToHead,HomeCupWinsHeadToHead,HomeCupDrawsHeadToHead,HomeCupLostHeadToHead,AwayCupGamesPlayed,AwayCup GameResult,AwayCupGoalsForHeadToHead,AwayCupGoalsAgainstHeadToHead,AwayCupWinsHeadToHead,AwayCupDrawsHeadToHead,AwayCupLostHeadToHead,NeutralCupGamesPlayed,NeutralCupGameResult,NeutralCupGoalsForHeadToHead,NeutralCupGoalsAgainstHeadToHead,NeutralCupWinsHeadToHead,NeutralCupDrawsHeadToHead,NeutralCupLostHeadToHead,TotalCupPlayedHeadToHead,TotalCupWonHeadToHead,TotalCupDrawHeadToHead,TotalCupLostHeadToHead,TotalCupGoalsForHeadToHead,TotalCupGoalsAgainstHeadToHead,TotalAllPlayedHeadToHead,TotalAllWonHeadToHead,TotalAllDrawHeadToHead,TotalAllLostHeadToHead,TotalAllGoalsForHeadToHead,TotalAllGoalsAgainstHeadToHead
1894,Liverpool,Y,,Division 2,28,22,6,0,77,18,50,1,16,17,R3,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2-0,2,0,1,,,1,1,,,2,0,1,1,0,0,2,0
1895,Liverpool,,Y,Division 1,30,7,8,15,51,70,22,16,16,16,R2,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,Liverpool,Y,,Division 2,30,22,2,6,106,32,46,1,16,17,R2,—,—,—,—,—,—,—,1,7–1,7,1,1,,,1,2-5,2,5,,,1,2,1,0,1,9,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,9,6
1897,Liverpool,,,Division 1,30,12,9,9,46,38,33,5,16,5,SF,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,Liverpool,,,Division 1,30,11,6,13,48,45,28,9,16,9,R3,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,1,2-1,2,1,1,,,1,0-0,0,0,,1,,,,,,,,,2,1,1,,2,1,2,1,1,0,2,1
1899,Liverpool,,,Division 1,34,19,5,10,49,33,43,2,18,2,SF,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,Liverpool,,,Division 1,34,14,5,15,49,45,33,10,18,10,R2,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,Liverpool,,,Division 1,34,19,7,8,59,35,45,1,18,1,R1,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,Liverpool,,,Division 1,34,10,12,12,42,38,32,11,18,11,R2,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,Liverpool,,,Division 1,34,17,4,13,68,49,38,5,18,5,R1,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2,1,2,,,1,,,,,,,,1,,,1,1,2,1,0,0,1,1,2
1904,Liverpool,,Y,Division 1,34,9,8,17,49,62,26,17,18,17,R1,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,Liverpool,Y,,Division 2,34,27,4,3,93,25,58,1,18,19,R1,—,—,—,—,—,—,—,1,4–0,4,0,1,,,1,1-3,1,3,,,1,2,1,0,1,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,5,3
1906,Liverpool,,,Division 1,38,23,5,10,79,46,51,1,20,1,SF,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Liverpool,,,Division 1,38,13,7,18,64,65,33,15,20,15,R4,—,—,—,—,—,—,—,1,0–1,0,1,,,1,1,0–0,0,0,,1,,2,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,1
1908,Liverpool,,,Division 1,38,16,6,16,68,61,38,8,20,8,R3,—,—,—,—,—,—,—,1,7–4,7,4,1,,,1,0-4,0,4,,,1,2,1,0,1,7,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,7,8
1909,Liverpool,,,Division 1,38,15,6,17,57,65,36,16,20,16,R2,—,—,—,—,—,—,—,1,3–1,3,1,1,,,1,2-3,2,3,,,1,2,1,0,1,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,5,4
1910,Liverpool,,,Division 1,38,21,6,11,78,57,48,2,20,2,R1,—,—,—,—,—,—,—,1,3–2,3,2,1,,,1,4-3,4,3,1,,,2,2,0,0,7,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,7,5
1911,Liverpool,,,Division 1,38,15,7,16,53,53,37,13,20,13,R2,—,—,—,—,—,—,—,1,3–2,3,2,1,,,1,0-2,0,2,,,1,2,1,0,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,3,4
1912,Liverpool,,,Division 1,38,12,10,16,49,55,34,17,20,17,R2,—,—,—,—,—,—,—,1,3–2,3,2,1,,,1,1–1,1,1,,1,,2,1,1,0,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,4,3
1913,Liverpool,,,Division 1,38,16,5,17,61,71,37,12,20,12,R3,—,—,—,—,—,—,—,1,0–2,0,2,,,1,1,1-3,1,3,,,1,2,0,0,2,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,1,5
1914,Liverpool,,,Division 1,38,14,7,17,46,62,35,16,20,16,RU,—,—,—,—,—,—,—,1,1–2,1,2,,,1,1,0-3,0,3,,,1,2,0,0,2,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,1,5
1915,Liverpool,,,Division 1,38,14,9,15,65,75,37,13,20,13,R2,—,—,—,—,—,—,—,1,1–1,1,1,,1,,1,0-2,0,2,,,1,2,0,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,1,3
1920,Liverpool,,,Division 1,42,19,10,13,59,44,48,4,22,4,R4,—,—,—,—,—,—,—,1,0–0,0,0,,1,,1,0–0,0,0,,1,,2,0,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0
1921,Liverpool,,,Division 1,42,18,15,9,63,35,51,4,22,4,R2,—,—,—,—,—,—,—,1,2–0,2,0,1,,,1,1–1,1,1,,1,,2,1,1,0,3,1,3,1,1-1,1,1,,1,,1,2-1,2,1,1,,,,,,,,,,2,1,1,,3,2,4,2,2,0,6,3
1922,Liverpool,,,Division 1,42,22,13,7,63,36,57,1,22,1,R2,—,—,—,—,—,—,—,1,2–1,2,1,1,,,1,0–0,0,0,,1,,2,1,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,2,1
1923,Liverpool,,,Division 1,42,26,8,8,70,31,60,1,22,1,R3,—,RU,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,Liverpool,,,Division 1,42,15,11,16,49,48,41,12,22,12,R4,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,Liverpool,,,Division 1,42,20,10,12,63,55,50,4,22,4,R4,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,Liverpool,,,Division 1,42,14,16,12,70,63,44,7,22,7,R4,—,—,—,—,—,—,—,1,5–0,5,0,1,,,1,3–3,3,3,,1,,2,1,1,0,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,8,3
1927,Liverpool,,,Division 1,42,18,7,17,69,61,43,9,22,9,R5,—,—,—,—,—,—,—,1,4–2,4,2,1,,,1,1-0,1,0,1,,,2,2,0,0,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,5,2
