Team,Season,Division,Played,Won,Drew,Lost,For,Against,Points,Position,FA Cup,League Cup,Community Shield,Champions League,Europa League,Cup Winners’ Cup,Super Cup,Club World Cup,Top Scorer,Goals
Manchester United,1892–93,Div 1,30,6,6,18,50,85,18,16th,R1,,,,,,,,Bob Donaldson,16
Manchester United,1893–94,Div 1,30,6,2,22,36,72,14,16th,R2,,,,,,,,Bob Donaldson,10
Manchester United,1894–95,Div 2,30,15,8,7,78,44,38,3rd,R1,,,,,,,,Dick Smith,20
Manchester United,1895–96,Div 2,30,15,3,12,66,57,33,6th,R2,,,,,,,,Joe Cassidy,16
Manchester United,1896–97,Div 2,30,17,5,8,56,34,39,2nd,R3,,,,,,,,Joe Cassidy,25
Manchester United,1897–98,Div 2,30,16,6,8,64,35,38,4th,R2,,,,,,,,Henry Boyd,22
Manchester United,1898–99,Div 2,34,19,5,10,67,43,43,4th,R1,,,,,,,,Joe Cassidy,20
Manchester United,1899–1900,Div 2,34,20,4,10,63,27,44,4th,QR3,,,,,,,,Joe Cassidy,16
Manchester United,1900–01,Div 2,34,14,4,16,42,38,32,10th,R1,,,,,,,,Tom Leigh,14
Manchester United,1901–02,Div 2,34,11,6,17,38,53,28,15th,RInt,,,,,,,,Stephen Preston,11
Manchester United,1902–03,Div 2,34,15,8,11,53,38,38,5th,R2,,,,,,,,Jack Peddie,15
Manchester United,1903–04,Div 2,34,20,8,6,65,33,48,3rd,R2,,,,,,,,Tommy Arkesden,15
Manchester United,1904–05,Div 2,34,24,5,5,81,30,53,3rd,RInt,,,,,,,,Jack Peddie,17
Manchester United,1905–06,Div 2,38,28,6,4,90,28,62,2nd,R4,,,,,,,,Jack Picken,25
Manchester United,1906–07,Div 1,38,17,8,13,53,56,42,8th,R1,,,,,,,,George Wall,13
Manchester United,1907–08,Div 1,38,23,6,9,81,48,52,1st,R4,,W,,,,,,Sandy Turnbull,27
Manchester United,1908–09,Div 1,38,15,7,16,58,68,37,13th,W,,,,,,,,Jimmy Turnbull,22
Manchester United,1909–10,Div 1,38,19,7,12,69,61,45,5th,R1,,,,,,,,George Wall,14
Manchester United,1910–11,Div 1,38,22,8,8,72,40,52,1st,R3,,,,,,,,Enoch West,20
Manchester United,1911–12,Div 1,38,13,11,14,45,60,37,13th,R4,,W,,,,,,Enoch West,23
Manchester United,1912–13,Div 1,38,19,8,11,69,43,46,4th,R3,,,,,,,,Enoch West,22
Manchester United,1913–14,Div 1,38,15,6,17,52,62,36,14th,R1,,,,,,,,George Anderson,15
Manchester United,1914–15,Div 1,38,9,12,17,46,62,30,18th,R1,,,,,,,,George Anderson,10
Manchester United,1915–19,,,,,,,,,,,,,,,,,,,
Manchester United,1919–20,Div 1,42,13,14,15,54,50,40,12th,R2,,,,,,,,Joe Spence,14
Manchester United,1920–21,Div 1,42,15,10,17,64,68,40,13th,R1,,,,,,,,"Tom Miller
Teddy Partridge",8
Manchester United,1921–22,Div 1,42,8,12,22,41,73,28,22nd,R1,,,,,,,,Joe Spence,15
Manchester United,1922–23,Div 2,42,17,14,11,51,36,48,4th,R2,,,,,,,,Ernie Goldthorpe,14
Manchester United,1923–24,Div 2,42,13,14,15,52,44,40,14th,R2,,,,,,,,Arthur Lochhead,14
Manchester United,1924–25,Div 2,42,23,11,8,57,23,57,2nd,R1,,,,,,,,William Henderson,14
